0,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00
01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
010,0.00,0.00,0.57,0.14,0.07,0.00,0.21,0.00,0.00
012,0.04,0.04,0.00,0.28,0.17,0.21,0.12,0.10,0.04
013,0.19,0.00,0.19,0.00,0.22,0.12,0.16,0.09,0.03
014,0.11,0.00,0.27,0.24,0.00,0.06,0.16,0.16,0.00
015,0.00,0.00,0.44,0.13,0.21,0.00,0.08,0.05,0.10
016,0.00,0.00,0.15,0.48,0.15,0.00,0.00,0.19,0.04
017,0.12,0.00,0.12,0.06,0.25,0.19,0.06,0.00,0.19
018,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.33,0.00
020,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00
021,0.14,0.00,0.02,0.23,0.25,0.16,0.11,0.09,0.00
023,0.00,0.00,0.03,0.00,0.38,0.24,0.24,0.05,0.05
024,0.05,0.15,0.00,0.20,0.00,0.45,0.05,0.05,0.05
025,0.00,0.09,0.04,0.35,0.22,0.00,0.11,0.04,0.15
026,0.00,0.08,0.00,0.08,0.17,0.00,0.00,0.58,0.08
027,0.14,0.14,0.00,0.21,0.14,0.14,0.07,0.00,0.14
028,0.00,0.25,0.00,0.25,0.25,0.00,0.25,0.00,0.00
030,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.25,0.00
031,0.08,0.00,0.37,0.00,0.27,0.20,0.06,0.02,0.00
032,0.00,0.00,0.00,0.00,0.38,0.31,0.12,0.06,0.12
034,0.00,0.22,0.14,0.00,0.00,0.35,0.11,0.14,0.05
035,0.00,0.12,0.19,0.02,0.29,0.00,0.29,0.02,0.07
036,0.07,0.10,0.10,0.00,0.24,0.12,0.00,0.24,0.12
037,0.07,0.14,0.14,0.00,0.14,0.07,0.14,0.00,0.29
038,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
040,0.00,0.50,0.00,0.00,0.00,0.25,0.00,0.25,0.00
041,0.00,0.00,0.41,0.05,0.05,0.31,0.08,0.08,0.03
042,0.00,0.11,0.00,0.05,0.00,0.58,0.16,0.05,0.05
043,0.05,0.10,0.20,0.00,0.00,0.35,0.25,0.05,0.00
045,0.00,0.05,0.10,0.03,0.00,0.00,0.51,0.18,0.13
046,0.00,0.21,0.00,0.07,0.00,0.21,0.00,0.50,0.00
047,0.00,0.30,0.12,0.12,0.00,0.09,0.15,0.00,0.21
048,0.00,0.20,0.40,0.20,0.00,0.20,0.00,0.00,0.00
05,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
050,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
051,0.00,0.00,0.38,0.19,0.25,0.00,0.19,0.00,0.00
052,0.00,0.36,0.00,0.14,0.07,0.00,0.36,0.00,0.07
053,0.00,0.20,0.20,0.00,0.20,0.00,0.20,0.20,0.00
054,0.00,0.33,0.22,0.11,0.00,0.00,0.11,0.22,0.00
056,0.00,0.09,0.09,0.04,0.09,0.00,0.00,0.52,0.17
057,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.50
058,0.00,0.33,0.17,0.00,0.00,0.00,0.50,0.00,0.00
061,0.05,0.00,0.32,0.05,0.27,0.05,0.00,0.23,0.05
062,0.00,0.10,0.00,0.30,0.00,0.40,0.00,0.10,0.10
063,0.05,0.20,0.20,0.00,0.20,0.05,0.00,0.30,0.00
064,0.00,0.35,0.05,0.15,0.00,0.15,0.00,0.30,0.00
065,0.00,0.00,0.29,0.14,0.00,0.00,0.00,0.43,0.14
067,0.00,0.29,0.00,0.24,0.00,0.00,0.05,0.00,0.43
068,0.00,0.18,0.27,0.09,0.00,0.18,0.00,0.27,0.00
070,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
071,0.09,0.00,0.45,0.09,0.18,0.00,0.09,0.00,0.09
072,0.20,0.30,0.00,0.10,0.00,0.20,0.10,0.00,0.10
073,0.00,0.33,0.11,0.00,0.33,0.11,0.11,0.00,0.00
074,0.00,0.31,0.08,0.23,0.00,0.23,0.15,0.00,0.00
075,0.00,0.20,0.60,0.20,0.00,0.00,0.00,0.00,0.00
076,0.00,0.15,0.08,0.38,0.08,0.08,0.00,0.00,0.23
078,0.05,0.20,0.15,0.10,0.15,0.20,0.05,0.10,0.00
080,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00
081,0.18,0.00,0.55,0.09,0.09,0.09,0.00,0.00,0.00
082,0.00,0.50,0.00,0.00,0.00,0.25,0.25,0.00,0.00
083,0.50,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00
084,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00
085,0.00,0.25,0.50,0.25,0.00,0.00,0.00,0.00,0.00
086,0.00,0.33,0.17,0.17,0.17,0.00,0.00,0.17,0.00
087,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00
101,0.00,0.00,0.25,0.25,0.12,0.38,0.00,0.00,0.00
102,0.03,0.09,0.00,0.36,0.10,0.22,0.07,0.09,0.03
103,0.06,0.06,0.15,0.00,0.18,0.15,0.38,0.03,0.00
104,0.05,0.00,0.16,0.26,0.00,0.26,0.00,0.16,0.11
105,0.00,0.08,0.31,0.15,0.00,0.00,0.38,0.08,0.00
106,0.00,0.00,0.32,0.26,0.05,0.11,0.00,0.11,0.16
107,0.00,0.00,0.33,0.33,0.00,0.00,0.33,0.00,0.00
108,0.00,0.00,0.00,0.25,0.00,0.75,0.00,0.00,0.00
12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,0.00,0.17,0.03,0.34,0.21,0.10,0.03,0.10,0.00
121,0.24,0.00,0.00,0.24,0.35,0.06,0.12,0.00,0.00
123,0.31,0.01,0.01,0.00,0.26,0.17,0.16,0.08,0.00
124,0.04,0.04,0.02,0.32,0.00,0.28,0.18,0.12,0.02
125,0.09,0.03,0.00,0.30,0.12,0.00,0.16,0.10,0.19
126,0.03,0.00,0.00,0.34,0.09,0.00,0.00,0.31,0.22
127,0.12,0.00,0.04,0.36,0.16,0.12,0.12,0.00,0.08
128,0.00,0.00,0.00,0.07,0.07,0.57,0.29,0.00,0.00
130,0.00,0.14,0.19,0.08,0.42,0.08,0.08,0.00,0.00
132,0.17,0.06,0.00,0.00,0.00,0.39,0.22,0.11,0.06
134,0.10,0.06,0.10,0.00,0.00,0.48,0.13,0.13,0.00
135,0.06,0.00,0.11,0.00,0.39,0.00,0.22,0.06,0.17
136,0.16,0.04,0.04,0.00,0.16,0.12,0.00,0.32,0.16
137,0.27,0.00,0.00,0.09,0.36,0.00,0.27,0.00,0.00
138,0.33,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00
14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,0.00,0.06,0.41,0.41,0.00,0.12,0.00,0.00,0.00
141,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
142,0.12,0.02,0.00,0.31,0.00,0.40,0.07,0.00,0.07
143,0.15,0.00,0.12,0.00,0.00,0.29,0.37,0.07,0.00
145,0.15,0.00,0.15,0.09,0.00,0.00,0.36,0.06,0.18
146,0.08,0.00,0.16,0.16,0.00,0.04,0.00,0.56,0.00
147,0.04,0.00,0.11,0.11,0.04,0.30,0.19,0.00,0.22
148,0.00,0.00,0.33,0.00,0.00,0.67,0.00,0.00,0.00
150,0.00,0.00,0.20,0.40,0.00,0.00,0.30,0.10,0.00
152,0.05,0.03,0.00,0.42,0.07,0.03,0.30,0.07,0.03
153,0.06,0.00,0.06,0.00,0.06,0.06,0.56,0.22,0.00
154,0.10,0.00,0.30,0.10,0.00,0.05,0.20,0.15,0.10
156,0.17,0.00,0.06,0.06,0.06,0.00,0.00,0.39,0.28
157,0.12,0.00,0.18,0.12,0.06,0.00,0.06,0.00,0.47
158,0.07,0.00,0.14,0.14,0.07,0.00,0.29,0.29,0.00
160,0.00,0.11,0.33,0.00,0.22,0.00,0.00,0.33,0.00
162,0.00,0.00,0.00,0.40,0.10,0.00,0.00,0.40,0.10
163,0.17,0.00,0.21,0.00,0.12,0.04,0.04,0.29,0.12
164,0.08,0.00,0.33,0.00,0.00,0.17,0.00,0.33,0.08
165,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.60
167,0.03,0.00,0.16,0.26,0.10,0.06,0.00,0.00,0.39
168,0.33,0.00,0.20,0.07,0.00,0.07,0.00,0.33,0.00
170,0.00,0.00,0.18,0.73,0.00,0.00,0.09,0.00,0.00
172,0.22,0.00,0.00,0.11,0.22,0.22,0.00,0.00,0.22
173,0.38,0.00,0.00,0.00,0.00,0.38,0.12,0.00,0.12
174,0.11,0.00,0.16,0.05,0.00,0.11,0.26,0.11,0.21
175,0.00,0.00,0.50,0.17,0.00,0.00,0.00,0.00,0.33
176,0.17,0.17,0.17,0.33,0.00,0.00,0.00,0.00,0.17
178,0.14,0.00,0.24,0.19,0.05,0.19,0.10,0.10,0.00
180,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00
182,0.00,0.40,0.00,0.10,0.10,0.20,0.00,0.00,0.20
183,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,0.00
185,0.00,0.00,0.60,0.20,0.00,0.00,0.20,0.00,0.00
186,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
187,0.33,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00
2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
201,0.04,0.00,0.14,0.32,0.25,0.11,0.11,0.04,0.00
202,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
203,0.03,0.35,0.00,0.00,0.26,0.21,0.12,0.03,0.00
204,0.00,0.16,0.00,0.16,0.00,0.26,0.11,0.32,0.00
205,0.00,0.27,0.00,0.18,0.09,0.00,0.27,0.00,0.18
206,0.00,0.00,0.00,0.22,0.44,0.11,0.00,0.22,0.00
207,0.00,0.15,0.00,0.23,0.15,0.00,0.31,0.00,0.15
208,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
210,0.00,0.12,0.06,0.33,0.12,0.06,0.18,0.06,0.06
212,0.25,0.00,0.00,0.00,0.25,0.25,0.25,0.00,0.00
213,0.26,0.00,0.02,0.00,0.28,0.15,0.19,0.11,0.00
214,0.15,0.00,0.03,0.32,0.00,0.32,0.06,0.12,0.00
215,0.09,0.00,0.00,0.41,0.09,0.00,0.09,0.09,0.23
216,0.12,0.00,0.00,0.25,0.08,0.00,0.00,0.42,0.12
217,0.17,0.00,0.08,0.08,0.25,0.08,0.17,0.00,0.17
218,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.00
23,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
230,0.00,0.24,0.04,0.02,0.36,0.13,0.11,0.07,0.02
231,0.20,0.00,0.00,0.00,0.20,0.40,0.20,0.00,0.00
232,0.67,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
234,0.05,0.05,0.02,0.00,0.00,0.52,0.12,0.18,0.05
235,0.13,0.08,0.05,0.00,0.18,0.00,0.29,0.05,0.21
236,0.14,0.02,0.02,0.00,0.25,0.20,0.00,0.32,0.05
237,0.15,0.08,0.00,0.00,0.31,0.00,0.15,0.00,0.31
238,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00
240,0.00,0.36,0.00,0.36,0.00,0.00,0.18,0.09,0.00
241,0.08,0.00,0.08,0.38,0.00,0.23,0.08,0.15,0.00
242,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
243,0.23,0.00,0.00,0.00,0.00,0.42,0.19,0.13,0.03
245,0.10,0.00,0.02,0.17,0.00,0.00,0.40,0.19,0.12
246,0.05,0.05,0.00,0.19,0.00,0.19,0.00,0.52,0.00
247,0.06,0.06,0.00,0.17,0.00,0.28,0.17,0.00,0.28
248,0.00,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00
250,0.00,0.30,0.00,0.35,0.10,0.00,0.20,0.05,0.00
251,0.25,0.00,0.00,0.33,0.33,0.00,0.08,0.00,0.00
252,0.00,0.40,0.00,0.00,0.20,0.00,0.40,0.00,0.00
253,0.19,0.08,0.00,0.00,0.24,0.00,0.35,0.11,0.02
254,0.16,0.09,0.00,0.18,0.00,0.02,0.36,0.13,0.07
256,0.11,0.04,0.00,0.17,0.02,0.00,0.00,0.43,0.23
257,0.07,0.04,0.00,0.15,0.22,0.00,0.11,0.00,0.41
258,0.08,0.08,0.08,0.03,0.11,0.05,0.30,0.27,0.00
260,0.00,0.14,0.00,0.43,0.14,0.00,0.00,0.14,0.14
261,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.50,0.00
262,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
263,0.20,0.10,0.03,0.00,0.30,0.07,0.00,0.20,0.10
264,0.05,0.05,0.00,0.26,0.00,0.21,0.00,0.37,0.05
265,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.67,0.00
267,0.08,0.16,0.02,0.12,0.10,0.00,0.04,0.00,0.48
268,0.14,0.00,0.00,0.23,0.18,0.27,0.00,0.18,0.00
270,0.00,0.22,0.22,0.11,0.22,0.00,0.22,0.00,0.00
271,0.20,0.00,0.00,0.40,0.00,0.20,0.00,0.00,0.20
272,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
273,0.12,0.00,0.00,0.00,0.65,0.06,0.06,0.00,0.12
274,0.00,0.25,0.00,0.25,0.00,0.31,0.12,0.06,0.00
275,0.00,0.00,0.00,0.33,0.17,0.00,0.00,0.00,0.50
276,0.11,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.67
278,0.08,0.17,0.08,0.08,0.00,0.33,0.25,0.00,0.00
280,0.00,0.00,0.20,0.20,0.20,0.00,0.40,0.00,0.00
281,0.00,0.00,0.17,0.50,0.17,0.17,0.00,0.00,0.00
282,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00
283,0.40,0.00,0.00,0.00,0.07,0.20,0.20,0.13,0.00
284,0.00,0.38,0.00,0.25,0.00,0.12,0.12,0.12,0.00
285,0.19,0.10,0.00,0.29,0.24,0.00,0.19,0.00,0.00
286,0.17,0.08,0.00,0.17,0.17,0.08,0.00,0.33,0.00
287,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.00,0.00
3,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00
30,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
301,0.04,0.00,0.26,0.00,0.30,0.18,0.14,0.09,0.00
302,0.00,0.28,0.00,0.00,0.24,0.34,0.07,0.07,0.00
303,0.00,0.50,0.00,0.00,0.00,0.33,0.17,0.00,0.00
304,0.01,0.22,0.15,0.01,0.00,0.33,0.10,0.12,0.04
305,0.04,0.23,0.12,0.00,0.08,0.00,0.42,0.04,0.08
306,0.00,0.17,0.00,0.04,0.38,0.04,0.00,0.33,0.04
307,0.08,0.08,0.33,0.00,0.25,0.08,0.08,0.00,0.08
308,0.00,0.00,0.25,0.00,0.25,0.25,0.25,0.00,0.00
310,0.00,0.17,0.33,0.17,0.25,0.08,0.00,0.00,0.00
312,0.07,0.03,0.00,0.07,0.38,0.23,0.07,0.03,0.12
314,0.00,0.00,0.11,0.07,0.00,0.29,0.25,0.29,0.00
315,0.06,0.00,0.19,0.00,0.31,0.00,0.31,0.12,0.00
316,0.20,0.00,0.10,0.00,0.10,0.10,0.00,0.10,0.40
317,0.00,0.00,0.17,0.17,0.50,0.00,0.00,0.00,0.17
318,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
320,0.00,0.17,0.00,0.17,0.25,0.08,0.33,0.00,0.00
321,0.25,0.00,0.00,0.25,0.38,0.00,0.00,0.12,0.00
324,0.00,0.14,0.00,0.00,0.00,0.57,0.14,0.14,0.00
325,0.09,0.05,0.00,0.00,0.23,0.00,0.27,0.14,0.23
326,0.07,0.07,0.00,0.14,0.29,0.07,0.00,0.21,0.14
327,0.00,0.14,0.00,0.00,0.43,0.00,0.29,0.00,0.14
328,0.00,0.00,0.00,0.14,0.29,0.43,0.14,0.00,0.00
340,0.00,0.50,0.19,0.00,0.06,0.12,0.12,0.00,0.00
341,0.24,0.00,0.07,0.07,0.00,0.38,0.14,0.07,0.03
342,0.15,0.00,0.00,0.00,0.00,0.46,0.15,0.00,0.23
343,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
345,0.05,0.13,0.10,0.00,0.01,0.00,0.41,0.20,0.10
346,0.22,0.03,0.03,0.00,0.00,0.16,0.00,0.51,0.05
347,0.08,0.08,0.03,0.00,0.03,0.36,0.17,0.00,0.25
348,0.11,0.11,0.11,0.00,0.11,0.33,0.00,0.22,0.00
350,0.00,0.48,0.17,0.04,0.13,0.00,0.13,0.04,0.00
351,0.07,0.00,0.64,0.00,0.21,0.00,0.07,0.00,0.00
352,0.18,0.18,0.00,0.00,0.07,0.00,0.39,0.11,0.07
